週末課題no.9,3
The Donkey And His Shadow,0
The Fox And The Goat,0
The Emperor'S New Clothes_lv1,0
(A1) eCR1-04.The Wise Little Girl,0
『リバーシ』の研究,8
ENE・FARMは本当にお得？,8
うさぎのねてた時間は？,8
ドリブルは何回できる？,8
サンタクロースは1人じゃない！？,8
かみの毛は何本？！,8
じゃんけんで勝つ確率,8
だ円コンパス,8
ドミノ速倒し大作戦,8
ドレミの長さを測ってみる,8
ひとつ前のバス停で降りたほうが早い？,8
メダカの水槽を適温に保つには,8
圧力をかけるとどうして料理はおいしくなるのか？,8
複雑な図形の一つ一つの面の出る確率とは？,8
水の蒸発量と関係しているのは何！？,8
今，思い浮かべている数は…！！,8
夏を安く！お得に！快適に！,8
決断力がないあなたに．．．。,8
地球の総水量（14億キロkm3）ってどれくらい？,8
ドレミの長さを測ってみる！？,8
ペダルに踏み込め！！タイヤを回せ！！自転車の不思議,8
人間は紙に負ける？！,8
ドミノ速倒し大作戦！,8
協和音と三角形の関係　ーハルモニアを探してー,8
すごろくは不公平？　～20万回のすごろくで解き明かす～,8
リバーシ　～黒（先攻）は本当に有利なのか～,8
空気砲の長さと威力の関係を探る！,8
分けて発見！世界の国旗,8
太るわかめ,8
協和音と三角形の関係ーハルモニアを探してー,8
じゃんけんで勝つ確率は？,8
信号で止まらないためには？,8
(A1) RT16-Little Car,0
(A1) eGCR.VAH3-04.Vera in Space,0
(A1) eGCR.VAH3-05.A Small Delay,0
(A1) eCR1-03.The Wolf and the Seven Children,0
The Princess And The Pea_lv1,0
(A1) Reading Along Series 1-06. The Pajama Party (Book + Hybrid CD),0
週末課題no.10,3
比例のグラフ（ペア練習プリント）,2
比例・反比例の利用（図形）,2
対称な点・垂直に交わる直線,2
4点を結んだ四角形の面積,2
(A1) eGCR. MA.3-6-Olivia's Big Fight,0
(A1) Reading Along Series 1-02. Snap! Splat! (Book + Hybrid CD),0
(A1) eCR1-08.The White Snake,0
［STEP中2］1年の復習,6
［STEP中2］第1章 式の計算,6
［STEP中2］第6章 確率,6
解答［STEP中2］1年の復習,3
9.11演習プリント,2
(A1) eCR/S-04.The Girl in Red,0
(A1) RT36-Crossing the Road,0
［STEP中2］第3章 1次関数,6
変化と対応演習問題20200911,2
［STEP中2］第5章 三角形と四角形,6
解答［STEP中2］学年末問題,3
［STEP中2］第4章 図形の性質と合同,6
［STEP中2］第2章 連立方程式,6
解答［STEP中2］第3章 1次関数,3
(A1) eCR1-10.The Son Who Doesn't Listen,0
(A1) eGCR. MA.1-3-Jack's Date,0
(A1) Reading Along Series 1-03. Super Hero (Book + Hybrid CD),0
(A1) eGCR. MA.1-4-Bad Frogs,0
(A1) eGCR/School Adv.1-5-Bella the Sore Loser,0
週末課題no.11,3
変化と対応演習問題20200911解答,3
比例，反比例の利用（交点の座標、図形問題）,2
"比例，反比例の利用（速さ,歯車）",2
比例，反比例の利用（直線に関して対称な点、垂直に交わる２直線、動点問題）,2
比例，反比例の利用（格子点、平行四辺形となる点、変域から式を求める）,2
(A2) eGCR/School Adv.2-4-Bella and the Wonderful Wizard,0
(A2) eGCR/School Adv.2-3-Jack's 80 Days,0
(A1) RT26-The Roller Coaster,0
１年数SMonday確認テストNo9（9/16実施分）,5
(A1) Reading Along Series 1-08. Stepping Stone (Book + Hybrid CD),0
比例，反比例の利用（身の周りの問題を解決する）,2
比例，反比例の利用（動点問題②）,2
(A1) eCR/S-06.The Fox and the Cat,0
(A1) Reading Along Series 1-05. Snap! (Book + Hybrid CD),0
(A1) eCR2-05.The Old Beggar Woman,0
Gulliver'S Travels_lv2,0
(A1) RT41-The Tiny Woman's Coat,0
週末課題no.12,3
14_変化と対応解答例,3
14_変化と対応,5
比例，反比例の利用（パラメータ表示）※前期期末前演習 ,2
比例，反比例の利用（動点問題②）※前期期末前演習,2
比例，反比例の利用（解答集）,3
週末課題no.13,3
解答［STEP中2］第5章 三角形と四角形,3
１年数SMonday確認テストNo10（10/5実施分）,5
21_前期期末数学解答例,3
22_前期期末数学Ｓ解答例,3
22_前期期末数学Ｓ,5
21_前期期末数学,5
